epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,15725.7,0.79288,0.998,1.56434,1.04224,0,0.77267,0.73095,0.78175,0.58845,0.78519,0.73779,0.79275,0.58935,0.91024,1.01995,1.50128,1.06952,0,0.00111348,0.00111348,0.00111348
72,15947.5,0.77512,0.96056,1.47305,1.03139,0,0.80595,0.73449,0.78472,0.58606,0.83467,0.73406,0.79471,0.59028,0.9119,1.00402,1.49639,1.07004,0,0.00109284,0.00109284,0.00109284
73,16168.4,0.76613,0.97569,1.48596,1.03483,0,0.82961,0.72227,0.78541,0.5933,0.82863,0.72487,0.78795,0.58839,0.89694,1.00881,1.51241,1.06587,0,0.00107216,0.00107216,0.00107216
74,16389,0.7569,0.94876,1.50901,1.02458,0,0.79659,0.73859,0.79548,0.59465,0.81033,0.74474,0.80387,0.59919,0.90751,0.99414,1.51418,1.06868,0,0.00105146,0.00105146,0.00105146
75,16611,0.76029,0.96039,1.46822,1.02971,0,0.80917,0.7299,0.79775,0.60376,0.84331,0.73448,0.80659,0.60434,0.90751,0.99947,1.4844,1.06822,0,0.00103073,0.00103073,0.00103073
76,16833.7,0.76574,0.97313,1.44212,1.02478,0,0.81144,0.73122,0.79388,0.60491,0.83715,0.73914,0.8056,0.60392,0.90281,0.99228,1.46402,1.06462,0,0.00101,0.00101,0.00101
77,17057.8,0.75542,0.96803,1.44007,1.0243,0,0.80529,0.7414,0.79493,0.60793,0.81785,0.74523,0.80337,0.59932,0.88431,0.99267,1.46307,1.0542,0,0.000989267,0.000989267,0.000989267
78,17280.3,0.75494,0.95074,1.37393,1.02229,0,0.81058,0.73272,0.79591,0.61083,0.80836,0.75655,0.80465,0.59939,0.87983,0.98267,1.44026,1.05473,0,0.000968543,0.000968543,0.000968543
79,17503.6,0.7473,0.94493,1.38095,1.02354,0,0.80927,0.73619,0.80109,0.6178,0.82413,0.74045,0.80487,0.59996,0.86467,0.99013,1.41679,1.04761,0,0.000947837,0.000947837,0.000947837
80,17726.9,0.74642,0.95505,1.41428,1.02044,0,0.82093,0.73407,0.7934,0.60808,0.84145,0.74073,0.80316,0.59554,0.87186,0.9913,1.4464,1.04897,0,0.000927159,0.000927159,0.000927159
81,17947.2,0.7543,0.95747,1.40463,1.02067,0,0.83893,0.72593,0.80811,0.62019,0.85432,0.73038,0.81259,0.60369,0.86726,0.99314,1.41441,1.04685,0,0.000906517,0.000906517,0.000906517
82,18169.3,0.74479,0.944,1.36931,1.0159,0,0.7959,0.74043,0.79908,0.6208,0.81693,0.75161,0.80888,0.5986,0.86108,0.98786,1.41977,1.04044,0,0.00088592,0.00088592,0.00088592
83,18393.8,0.73445,0.94987,1.36153,1.01305,0,0.85523,0.72501,0.81349,0.63041,0.87013,0.72982,0.82151,0.60797,0.85343,0.97967,1.42411,1.03987,0,0.000865378,0.000865378,0.000865378
84,18616.5,0.7389,0.95353,1.34847,1.01526,0,0.81903,0.74253,0.80672,0.62541,0.84734,0.74025,0.81748,0.5989,0.83975,0.97813,1.42408,1.03616,0,0.000844899,0.000844899,0.000844899
85,18835.6,0.7188,0.91523,1.29953,1.00765,0,0.85739,0.70785,0.80938,0.62423,0.88165,0.71079,0.81296,0.59578,0.84159,0.96947,1.40191,1.03548,0,0.000824492,0.000824492,0.000824492
86,19055.2,0.72289,0.92044,1.2742,1.00187,0,0.83567,0.72734,0.80904,0.62502,0.86355,0.73035,0.81372,0.59687,0.83683,0.96965,1.40477,1.03567,0,0.000804167,0.000804167,0.000804167
87,19272.8,0.73957,0.94702,1.33837,1.01966,0,0.8276,0.7289,0.80501,0.62457,0.86323,0.73452,0.8112,0.59395,0.83732,0.97239,1.38754,1.03308,0,0.000783933,0.000783933,0.000783933
88,19488,0.72112,0.92556,1.30991,1.01366,0,0.82112,0.75537,0.80881,0.62614,0.83875,0.75932,0.81581,0.60102,0.83891,0.97208,1.38457,1.0337,0,0.000763797,0.000763797,0.000763797
89,19705.9,0.72007,0.92985,1.28515,1.01177,0,0.84466,0.76249,0.81694,0.63438,0.85774,0.76647,0.82698,0.60527,0.83974,0.97352,1.36969,1.03219,0,0.000743769,0.000743769,0.000743769
90,19923.5,0.71826,0.91935,1.2888,1.0033,0,0.84122,0.76744,0.82904,0.64503,0.85409,0.77019,0.83505,0.61705,0.83964,0.97157,1.37612,1.03233,0,0.000723859,0.000723859,0.000723859
91,20141.2,0.72172,0.93374,1.29542,1.00814,0,0.84697,0.73656,0.82627,0.64215,0.86397,0.73937,0.83301,0.61417,0.83011,0.97412,1.36528,1.03118,0,0.000704073,0.000704073,0.000704073
92,20360.7,0.70449,0.90435,1.26426,0.99969,0,0.89334,0.72491,0.82187,0.63646,0.89997,0.7144,0.82573,0.60432,0.83019,0.96852,1.36432,1.03201,0,0.000684422,0.000684422,0.000684422
93,20578.2,0.71648,0.91989,1.28686,1.00428,0,0.82226,0.75112,0.82229,0.63975,0.86781,0.7329,0.8287,0.60854,0.8252,0.97038,1.36144,1.02806,0,0.000664914,0.000664914,0.000664914
94,20798,0.72116,0.91849,1.26768,1.00506,0,0.85428,0.74292,0.82891,0.64594,0.87411,0.74585,0.83262,0.61791,0.82382,0.96211,1.35547,1.02783,0,0.000645557,0.000645557,0.000645557
95,21019.1,0.69546,0.89451,1.24735,0.99819,0,0.85952,0.75735,0.84031,0.64984,0.85997,0.75575,0.84024,0.62105,0.82732,0.96165,1.35126,1.02824,0,0.00062636,0.00062636,0.00062636
96,21240.3,0.7029,0.9319,1.25663,1.00158,0,0.86455,0.75058,0.83382,0.64737,0.88942,0.75069,0.83912,0.61989,0.82565,0.96566,1.32682,1.02622,0,0.000607331,0.000607331,0.000607331
97,21462.4,0.70471,0.91172,1.23608,0.9958,0,0.87584,0.72625,0.82233,0.63917,0.85768,0.74974,0.82636,0.61089,0.82769,0.96567,1.33584,1.03027,0,0.000588479,0.000588479,0.000588479
98,21686.3,0.69952,0.90453,1.23324,0.99551,0,0.79323,0.78644,0.82733,0.64425,0.8123,0.7899,0.83395,0.61434,0.82327,0.97421,1.32113,1.02513,0,0.000569811,0.000569811,0.000569811
99,21911.3,0.69585,0.90917,1.24247,0.99664,0,0.83769,0.76845,0.83088,0.64558,0.85946,0.77073,0.83732,0.61476,0.81701,0.96991,1.31399,1.02012,0,0.000551337,0.000551337,0.000551337
100,22133.9,0.69623,0.91206,1.2424,0.99757,0,0.86243,0.76479,0.83474,0.65289,0.86109,0.76772,0.83685,0.62362,0.81967,0.96482,1.3234,1.02233,0,0.000533064,0.000533064,0.000533064
101,22355.7,0.70153,0.92015,1.21384,0.99396,0,0.81259,0.80119,0.84175,0.65535,0.8122,0.80132,0.84457,0.62808,0.82162,0.96437,1.3263,1.01979,0,0.000515,0.000515,0.000515
102,22576.7,0.69874,0.9115,1.25455,0.99798,0,0.82016,0.78239,0.84029,0.65729,0.8272,0.79215,0.84061,0.6241,0.81995,0.96315,1.31512,1.0201,0,0.000497153,0.000497153,0.000497153
103,22797.7,0.6887,0.8896,1.17598,0.98892,0,0.84364,0.77109,0.83691,0.6574,0.84169,0.7842,0.83883,0.62425,0.81432,0.96704,1.30441,1.01756,0,0.000479531,0.000479531,0.000479531
104,23016.9,0.68267,0.88687,1.21508,0.98741,0,0.85605,0.76031,0.83605,0.6559,0.85529,0.75949,0.83741,0.62433,0.81071,0.96441,1.30233,1.0144,0,0.000462142,0.000462142,0.000462142
105,23236.2,0.68809,0.87923,1.20315,0.98613,0,0.81492,0.79758,0.83721,0.65619,0.8376,0.79143,0.83889,0.62202,0.80811,0.95963,1.29329,1.01558,0,0.000444994,0.000444994,0.000444994
106,23454.9,0.68426,0.89845,1.17186,0.98533,0,0.8129,0.80309,0.83652,0.6567,0.82139,0.80173,0.84006,0.62287,0.80517,0.95885,1.3011,1.01465,0,0.000428093,0.000428093,0.000428093
107,23673.2,0.6814,0.88595,1.17554,0.98651,0,0.81012,0.79855,0.83792,0.65963,0.81727,0.80127,0.84063,0.62207,0.80322,0.96645,1.28711,1.01233,0,0.000411447,0.000411447,0.000411447
108,23890.1,0.67747,0.8796,1.17394,0.97835,0,0.83693,0.79372,0.84164,0.66422,0.83282,0.78772,0.84355,0.62577,0.8032,0.96466,1.2835,1.01287,0,0.000395064,0.000395064,0.000395064
109,24107.1,0.67804,0.89075,1.15275,0.97941,0,0.84786,0.78004,0.84161,0.66464,0.83728,0.79846,0.84304,0.62633,0.80076,0.96576,1.28638,1.00968,0,0.00037895,0.00037895,0.00037895
110,24323.5,0.68075,0.89236,1.16738,0.99014,0,0.82787,0.79286,0.84098,0.66239,0.8357,0.79102,0.84233,0.62748,0.80321,0.96462,1.29065,1.01156,0,0.000363114,0.000363114,0.000363114
111,24539.8,0.68049,0.90251,1.14542,0.98624,0,0.82219,0.8055,0.84605,0.66606,0.86761,0.77674,0.84604,0.63088,0.80321,0.96641,1.28149,1.01542,0,0.000347561,0.000347561,0.000347561
112,24762.1,0.67809,0.88609,1.13564,0.98209,0,0.82346,0.8156,0.8513,0.66955,0.85894,0.79096,0.85144,0.63324,0.80292,0.9683,1.28101,1.01494,0,0.000332298,0.000332298,0.000332298
113,24983.2,0.66298,0.85869,1.14458,0.98211,0,0.84686,0.80772,0.85015,0.66905,0.85826,0.79228,0.84954,0.63015,0.80173,0.96221,1.28134,1.01167,0,0.000317333,0.000317333,0.000317333
114,25204.9,0.67434,0.88646,1.09557,0.97726,0,0.87354,0.80171,0.85129,0.66956,0.8757,0.79923,0.85055,0.63053,0.80422,0.95795,1.289,1.00961,0,0.000302672,0.000302672,0.000302672
115,25425.7,0.68314,0.88922,1.15524,0.99266,0,0.87719,0.78912,0.85112,0.66998,0.87598,0.78887,0.84948,0.62981,0.8044,0.95488,1.28619,1.00952,0,0.000288321,0.000288321,0.000288321
116,25647,0.6743,0.88065,1.13253,0.97508,0,0.88594,0.78147,0.85397,0.67381,0.88456,0.78023,0.85197,0.63304,0.80326,0.95089,1.28511,1.00862,0,0.000274287,0.000274287,0.000274287
117,25868,0.67293,0.88505,1.13811,0.9822,0,0.8838,0.78134,0.85479,0.67541,0.88298,0.78001,0.85328,0.63536,0.80188,0.957,1.27821,1.00845,0,0.000260575,0.000260575,0.000260575
118,26090.8,0.67409,0.89639,1.11467,0.98085,0,0.88883,0.78477,0.85465,0.67718,0.88771,0.78375,0.85298,0.63376,0.79874,0.95671,1.26778,1.00909,0,0.000247192,0.000247192,0.000247192
119,26312.5,0.66812,0.89916,1.12908,0.98088,0,0.90011,0.77789,0.85655,0.67865,0.90073,0.77629,0.85469,0.63348,0.79676,0.95848,1.27834,1.00775,0,0.000234143,0.000234143,0.000234143
120,26534,0.66077,0.87338,1.11431,0.97393,0,0.89191,0.78136,0.85168,0.67675,0.89574,0.77533,0.85234,0.62989,0.79647,0.95966,1.2819,1.00762,0,0.000221435,0.000221435,0.000221435
